,0
0,6171.867000000042
1,8014.8690000000925
2,9479.87900000011
3,11662.878000000126
4,13161.900000000136
5,14146.923000000144
6,16470.934000000154
7,17751.94300000016
8,19276.961000000163
9,20793.98100000017
10,21884.95100000017
11,22832.910000000153
12,23966.862000000147
13,25140.842000000146
14,26812.79400000014
15,27002.768000000135
16,27438.74900000013
17,27184.739000000132
18,27255.740000000133
19,26440.775000000136
20,25378.736000000128
21,24348.712000000127
22,23650.67200000012
23,22523.63700000011
24,20864.616000000104
25,19877.569000000094
26,18526.537000000088
27,17998.507000000085
28,17146.475000000075
29,16515.441000000068
30,15440.420000000064
31,15210.362000000056
32,13757.362000000054
33,12840.320000000047
34,12571.265000000036
35,12193.234000000033
36,11774.19000000002
37,11591.140000000014
38,11097.107000000009
39,10844.045000000004
40,10670.044000000004
41,10670.045000000004
42,10870.048000000004
43,11000.041000000003
44,10857.038000000004
45,10779.045000000004
46,10831.046000000004
47,10368.039000000004
48,10043.035000000003
49,10043.037000000004
50,9965.043000000003
51,10043.039000000004
52,10186.045000000004
53,10290.042000000003
54,10316.044000000004
55,10381.041000000003
56,10394.043000000003
57,10524.033000000003
58,10368.032000000003
59,10368.035000000003
60,10407.036000000004
61,10407.038000000004
62,10246.038000000004
63,10498.036000000004
64,10433.042000000005
65,10550.036000000004
66,10563.035000000003
67,10543.037000000004
68,11546.036000000004
69,11385.035000000003
70,11398.036000000004
71,11572.038000000004
72,11676.036000000004
73,11715.035000000003
74,11715.037000000004
75,11741.039000000004
76,11767.040000000005
77,11793.041000000005
78,11252.042000000005
79,11252.043000000005
80,11252.043000000005
81,11109.042000000005
82,11161.039000000004
83,11122.042000000005
84,11096.046000000006
85,10857.051000000007
86,11057.052000000007
87,11291.050000000007
88,11395.043000000005
89,11369.046000000006
90,11434.042000000005
91,11421.045000000006
92,11330.041000000005
93,11343.043000000005
94,11369.044000000005
95,11408.047000000006
96,11460.046000000006
97,11356.041000000005
98,12144.041000000005
99,12131.045000000006
100,12079.049000000005
101,12235.041000000005
102,12287.037000000004
103,12300.037000000004
104,12313.036000000002
105,12352.038000000004
106,12430.034000000003
107,12469.033000000003
108,11733.032000000003
109,11850.026000000002
110,11824.031000000003
111,11837.034000000003
112,12032.032000000003
113,11954.040000000005
114,12110.033000000003
115,12110.033000000003
116,12123.032000000003
117,12318.032000000003
118,12162.044000000005
119,12253.037000000004
120,12240.038000000004
121,12188.042000000005
122,12422.039000000004
123,12227.039000000004
124,12162.042000000005
125,12188.040000000005
126,12214.038000000004
127,12214.038000000004
128,12820.036000000004
129,12742.042000000005
130,12794.038000000004
131,12794.038000000004
132,12534.043000000005
133,12625.036000000004
134,12521.043000000005
135,12378.041000000005
136,12456.035000000003
137,12482.033000000003
138,11850.037000000004
139,11902.033000000003
140,11954.029000000002
141,11954.029000000002
142,11754.030000000002
143,11915.032000000003
144,11915.032000000003
145,11876.035000000003
146,11941.030000000002
147,11902.033000000003
148,11954.029000000004
149,11941.030000000004
150,11889.034000000003
151,11928.031000000003
152,12305.032000000003
153,12058.036000000004
154,11897.034000000003
155,12292.033000000003
156,12292.033000000003
157,12266.035000000003
158,12781.040000000005
159,12768.041000000005
160,12781.038000000004
161,12807.036000000006
162,12625.035000000003
163,12807.036000000004
164,12794.037000000004
165,12599.037000000004
166,12625.035000000003
167,12659.033000000005
168,11923.030000000006
169,11949.028000000006
170,12227.036000000006
171,12474.032000000005
172,12513.029000000004
173,12409.024000000003
174,12370.027000000004
175,12344.029000000004
176,12292.033000000005
177,13067.033000000003
178,12989.039000000004
179,12402.039000000004
180,12012.039000000004
181,12090.033000000003
182,12051.036000000006
183,11895.033000000005
184,11843.037000000006
185,12482.031000000004
186,12443.034000000005
187,12508.029000000004
188,12547.026000000003
189,12573.024000000005
190,12482.033000000005
191,12521.030000000004
192,12495.032000000005
193,12534.029000000004
194,12482.033000000005
195,11629.039000000006
196,11629.039000000006
197,11681.035000000005
198,11720.032000000005
199,11720.032000000005
